Date,Open,High,Low,Close,Adj Close,Volume
2014-12-09,110.190002,114.300003,109.349998,114.120003,105.170227,60208000
2014-12-10,114.410004,114.849998,111.540001,111.949997,103.170418,44565300
2014-12-11,112.260002,113.800003,111.339996,111.620003,102.866295,41401700
2014-12-12,110.459999,111.870003,109.580002,109.730003,101.124519,56028100
2014-12-15,110.699997,111.599998,106.349998,108.230003,99.742172,67218100
2014-12-16,106.370003,110.160004,106.260002,106.750000,98.378212,60790700
2014-12-17,107.120003,109.839996,106.820000,109.410004,100.829620,53411800
2014-12-18,111.870003,112.650002,110.660004,112.650002,103.815514,59006200
2014-12-19,112.260002,113.239998,111.660004,111.779999,103.013756,88429800
2014-12-22,112.160004,113.489998,111.970001,112.940002,104.082771,45167500
2014-12-23,113.230003,113.330002,112.459999,112.540001,103.714149,26028400
2014-12-24,112.580002,112.709999,112.010002,112.010002,103.225708,14479600
2014-12-26,112.099998,114.519997,112.010002,113.989998,105.050430,33721000
2014-12-29,113.790001,114.769997,113.699997,113.910004,104.976730,27598900
2014-12-30,113.639999,113.919998,112.110001,112.519997,103.695717,29881500
2014-12-31,112.820000,113.129997,110.209999,110.379997,101.723541,41403400
2015-01-02,111.389999,111.440002,107.349998,109.330002,100.755898,53204600
2015-01-05,108.290001,108.650002,105.410004,106.250000,97.917427,64285500
2015-01-06,106.540001,107.430000,104.629997,106.260002,97.926666,65797100
2015-01-07,107.199997,108.199997,106.699997,107.750000,99.299805,40105900
2015-01-08,109.230003,112.150002,108.699997,111.889999,103.115128,59364500
2015-01-09,112.669998,113.250000,110.209999,112.010002,103.225708,53699500
2015-01-12,112.599998,112.629997,108.800003,109.250000,100.682159,49650800
2015-01-13,111.430000,112.800003,108.910004,110.220001,101.576080,67091900
2015-01-14,109.040001,110.489998,108.500000,109.800003,101.189041,48956600
2015-01-15,110.000000,110.059998,106.660004,106.820000,98.442726,60014000
2015-01-16,107.029999,107.580002,105.199997,105.989998,97.677811,78513300
2015-01-20,107.839996,108.970001,106.500000,108.720001,100.193726,49899900
2015-01-21,108.949997,111.059998,108.269997,109.550003,100.958649,48575900
2015-01-22,110.260002,112.470001,109.720001,112.400002,103.585136,53796400
2015-01-23,112.300003,113.750000,111.529999,112.980003,104.119629,46464800
